,Date,GME,SPY,IC
246,2020-12-22,4.865,349.070221,-0.08545308057130868
247,2020-12-23,5.1425,349.383942,-0.1209230561971611
248,2020-12-24,5.0375,350.743225,-0.13937056162903638
249,2020-12-28,5.2475,353.756409,-0.17195738400612198
250,2020-12-29,4.845,353.081451,-0.20180629380681397
251,2020-12-30,4.815,353.585236,-0.21647085454327114
252,2020-12-31,4.71,355.381744,-0.24437324038032654
253,2021-01-04,4.3125,350.543579,-0.2814226466782351
254,2021-01-05,4.3425,352.957947,-0.36318908845572945
255,2021-01-06,4.59,355.068115,-0.4266956748602387
256,2021-01-07,4.52,360.343506,-0.4874310838710012
257,2021-01-08,4.4225,362.396637,-0.4616130921423947
258,2021-01-11,4.985,359.953796,-0.401618380905021
259,2021-01-12,4.9875,360.029755,-0.3328949226995484
260,2021-01-13,7.85,360.999329,-0.27363261858077
261,2021-01-14,9.9775,359.735138,-0.22792758237204422
262,2021-01-15,8.875,357.111664,-0.20628642157585977
263,2021-01-19,9.84,359.915771,-0.20150514076393114
264,2021-01-20,9.78,364.896545,-0.21812172770172805
265,2021-01-21,10.7575,365.229218,-0.21733227676740452
266,2021-01-22,16.252501,363.936432,-0.20805109576345954
267,2021-01-25,19.1975,365.371765,-0.21605542245663778
268,2021-01-26,36.994999,364.801453,-0.22741565257730464
269,2021-01-27,86.877502,355.885559,-0.21850636549585065
270,2021-01-28,48.400002,358.946259,-0.08164495313051508
271,2021-01-29,81.25,351.760284,-0.032146874606076285
272,2021-02-01,56.25,357.615479,0.20606402896240347
273,2021-02-02,22.5,362.672241,0.3266876186393005
274,2021-02-03,23.102501,362.957428,0.3348553516983091
275,2021-02-04,13.375,367.082611,0.3341615116092561
276,2021-02-05,15.9425,368.527496,0.3293088570200638
277,2021-02-08,15.0,371.188995,0.3242872810680608
278,2021-02-09,12.5775,370.941833,0.3203606197162739
279,2021-02-10,12.8,370.780243,0.3011797901690175
280,2021-02-11,12.775,371.379059,0.2679092379797794
281,2021-02-12,13.1,373.213623,0.23634899751506866
282,2021-02-16,12.3775,372.890381,0.2348772057116402
283,2021-02-17,11.485,372.975983,0.21765985259149528
284,2021-02-18,10.1725,371.388519,0.19644648741185788
285,2021-02-19,10.1475,370.732727,0.1754355315532764
286,2021-02-22,11.5,367.881165,0.14392059249193073
287,2021-02-23,11.2425,368.32785,0.08638381837182228
288,2021-02-24,22.9275,372.386597,0.014658274784845932
289,2021-02-25,27.182501,363.413666,-0.03419869345062766
290,2021-02-26,25.434999,361.541138,-0.09844544311450694
291,2021-03-01,30.1,370.304962,-0.18223858915184696
292,2021-03-02,29.545,367.415405,-0.22135987432135962
293,2021-03-03,31.045,362.548737,-0.2837097606905394
294,2021-03-04,33.087502,358.062225,-0.37597570550554393
295,2021-03-05,34.435001,364.649414,-0.5032132066644226
296,2021-03-08,48.625,362.833862,-0.6043020877035552
297,2021-03-09,61.724998,368.014221,-0.6250000030543112
298,2021-03-10,66.25,370.304962,-0.5970923990680528
299,2021-03-11,65.0,374.05954,-0.5665652598241925
300,2021-03-12,66.125,374.563324,-0.560347517992423
301,2021-03-15,55.035,376.797058,-0.5582270084134401
302,2021-03-16,52.0425,376.321808,-0.5201009885791894
303,2021-03-17,52.452499,377.605011,-0.49425844002390923
304,2021-03-18,50.4375,372.111023,-0.4713198941638797
305,2021-03-19,50.067501,371.422455,-0.40543581446924526
306,2021-03-22,48.622501,374.388245,-0.3355062751821291
307,2021-03-23,45.4375,371.441559,-0.2812514364495298
308,2021-03-24,30.084999,369.553314,-0.24034251625561417
309,2021-03-25,45.9375,371.632294,-0.531058167510037
310,2021-03-26,45.25,377.621094,-0.476206553813894
311,2021-03-29,45.325001,377.430328,-0.35194679310851995
312,2021-03-30,48.615002,376.428986,-0.16559364094984977
313,2021-03-31,47.455002,377.954895,0.0308689503954432
314,2021-04-01,47.862499,382.036407,0.17053918640783475
315,2021-04-05,46.737499,387.519836,0.31300205857095925
316,2021-04-06,46.125,387.291016,0.4042387500265067
317,2021-04-07,44.4925,387.739136,0.46365163147894733
318,2021-04-08,42.564999,389.579681,0.5438308546644551
319,2021-04-09,39.59,392.411926,0.5995486569442259
320,2021-04-12,35.272499,392.555084,0.6275105291354145
321,2021-04-13,35.247501,393.718384,0.6356944895387288
322,2021-04-14,41.6325,392.37384,0.6262076421218397
323,2021-04-15,39.110001,396.588928,0.6339683335544654
324,2021-04-16,38.672501,397.914459,0.6351280369316331
325,2021-04-19,41.092499,395.959534,0.639191403723382
326,2021-04-20,39.6325,393.060455,0.6390000034674309
327,2021-04-21,39.627499,396.779663,0.633836777376314
328,2021-04-22,37.7925,393.155823,0.6252372940982932
329,2021-04-23,37.794998,397.418549,0.6034655140863364
330,2021-04-26,42.232498,398.248199,0.6005613192768666
331,2021-04-27,44.442501,398.162445,0.5992889046351303
332,2021-04-28,44.645,398.047974,0.5829060584155449
333,2021-04-29,44.047501,400.584625,0.5580356591288477
334,2021-04-30,43.397499,397.952606,0.544596434894985
335,2021-05-03,40.549999,398.810913,0.5210148822633761
336,2021-05-04,40.182499,396.350494,0.5050727462502731
337,2021-05-05,39.869999,396.474487,0.4589808352610345
338,2021-05-06,40.252499,399.640594,0.39920621490567654
339,2021-05-07,40.2775,402.549133,0.3585726383523369
340,2021-05-10,35.805,398.562958,0.3169162579561647
341,2021-05-11,36.73,395.005798,0.2727734179933174
342,2021-05-12,36.197498,386.613892,0.18800064284792267
343,2021-05-13,41.125,391.258118,0.032599990165056776
344,2021-05-14,39.98,397.265991,-0.08747966514844736
345,2021-05-17,45.150002,396.255127,-0.19508018939257515
346,2021-05-18,45.1675,392.841125,-0.27873420609125427
347,2021-05-19,42.2075,391.811188,-0.36632451635515945
348,2021-05-20,42.622501,396.026306,-0.4662120205331099
349,2021-05-21,44.197498,395.702026,-0.555456436634167
350,2021-05-24,45.002499,399.735901,-0.6510852359012392
351,2021-05-25,52.357498,398.84906,-0.7172493496131154
352,2021-05-26,60.639999,399.640594,-0.7474297284675007
353,2021-05-27,63.532501,399.850372,-0.7431104939793699
354,2021-05-28,55.5,400.565582,-0.7407330319543686
355,2021-06-01,62.255001,400.212769,-0.7586954570596212
356,2021-06-02,70.559998,400.842102,-0.7622800514998503
357,2021-06-03,64.544998,399.354492,-0.762240364556351
358,2021-06-04,62.09,403.006836,-0.7563189414953033
359,2021-06-07,70.002502,402.615906,-0.7611829399988825
360,2021-06-08,75.0,402.701721,-0.7646387684256454
361,2021-06-09,75.639999,402.100983,-0.7901545796278683
362,2021-06-10,55.0975,403.970032,-0.8409738967502522
363,2021-06-11,58.334999,404.637634,-0.841182004899117
364,2021-06-14,57.360001,405.543579,-0.8422820678792184
365,2021-06-15,55.625,404.799683,-0.8440315801265126
366,2021-06-16,55.7425,402.539581,-0.8390773591460071
367,2021-06-17,55.897499,402.406067,-0.8288338909157457
368,2021-06-18,53.455002,396.977478,-0.8131610568091222
369,2021-06-21,50.092499,402.660553,-0.8135144032207365
370,2021-06-22,55.099998,404.813324,-0.8194780396921925
371,2021-06-23,54.834999,404.325348,-0.8000942126424015
372,2021-06-24,53.077499,406.717255,-0.7807407503218542
373,2021-06-25,52.377499,408.161926,-0.7522206391820131
374,2021-06-28,53.3125,408.984802,-0.5911198151901815
375,2021-06-29,52.720001,409.204834,-0.4560824530732879
376,2021-06-30,53.535,409.549225,-0.3260413218149184
377,2021-07-01,51.09,411.816742,-0.14818791766796321
378,2021-07-02,50.7075,414.964508,0.020906501053714922
379,2021-07-06,49.889999,414.208618,0.16454519928693087
380,2021-07-07,47.665001,415.672455,0.2808448332619609
381,2021-07-08,47.845001,412.285583,0.3678610683690626
382,2021-07-09,47.807499,416.686646,0.44740338964444476
383,2021-07-12,47.3125,418.179199,0.49365779722503017
384,2021-07-13,45.014999,416.753632,0.5281457976707621
385,2021-07-14,41.904999,417.375488,0.5508792153345313
386,2021-07-15,41.705002,415.949982,0.5497141830303688
387,2021-07-16,42.259998,412.687378,0.5496648310842608
388,2021-07-19,43.372501,406.592926,0.5504417825022333
389,2021-07-20,47.794998,412.419556,0.6106438822604423
390,2021-07-21,46.452499,415.758606,0.6980351177197701
391,2021-07-22,44.712502,416.629242,0.7258169162468506
392,2021-07-23,45.09,420.915558,0.6948937319810661
393,2021-07-26,45.985001,421.948792,0.6490297230098228
394,2021-07-27,44.634998,420.025757,0.6347449382416788
395,2021-07-28,42.279999,419.853485,0.639463933921586
396,2021-07-29,41.215,421.594818,0.6364274670489473
397,2021-07-30,40.279999,419.547394,0.6276290603725232
398,2021-08-02,39.412498,418.667145,0.5948072196588408
399,2021-08-03,38.1875,422.073242,0.5684315475287193
400,2021-08-04,36.700001,419.997009,0.5368665252377218
401,2021-08-05,38.360001,422.656891,0.5165641139283842
402,2021-08-06,37.942501,423.355255,0.516430838770566
403,2021-08-09,40.282501,423.010803,0.5328839533949331
404,2021-08-10,39.762501,423.537018,0.5452613505494208
405,2021-08-11,39.695,424.589508,0.5581800588228836
406,2021-08-12,40.587502,425.861908,0.5803318110551361
407,2021-08-13,40.630001,426.636902,0.6053461635656742
408,2021-08-16,40.982498,427.64151,0.6407217809655755
