Date,GME,SPY,IC
2021-05-20,42.622501,396.026306,-0.4662120205331099
2021-05-21,44.197498,395.702026,-0.555456436634167
2021-05-24,45.002499,399.735901,-0.6510852359012392
2021-05-25,52.357498,398.84906,-0.7172493496131154
2021-05-26,60.639999,399.640594,-0.7474297284675007
2021-05-27,63.532501,399.850372,-0.7431104939793699
2021-05-28,55.5,400.565582,-0.7407330319543686
2021-06-01,62.255001,400.212769,-0.7586954570596212
2021-06-02,70.559998,400.842102,-0.7622800514998503
2021-06-03,64.544998,399.354492,-0.762240364556351
2021-06-04,62.09,403.006836,-0.7563189414953033
2021-06-07,70.002502,402.615906,-0.7611829399988825
2021-06-08,75.0,402.701721,-0.7646387684256454
2021-06-09,75.639999,402.100983,-0.7901545796278683
2021-06-10,55.0975,403.970032,-0.8409738967502522
2021-06-11,58.334999,404.637634,-0.841182004899117
2021-06-14,57.360001,405.543579,-0.8422820678792184
2021-06-15,55.625,404.799683,-0.8440315801265126
2021-06-16,55.7425,402.539581,-0.8390773591460071
2021-06-17,55.897499,402.406067,-0.8288338909157457
2021-06-18,53.455002,396.977478,-0.8131610568091222
2021-06-21,50.092499,402.660553,-0.8135144032207365
2021-06-22,55.099998,404.813324,-0.8194780396921925
2021-06-23,54.834999,404.325348,-0.8000942126424015
2021-06-24,53.077499,406.717255,-0.7807407503218542
2021-06-25,52.377499,408.161926,-0.7522206391820131
2021-06-28,53.3125,408.984802,-0.5911198151901815
2021-06-29,52.720001,409.204834,-0.4560824530732879
2021-06-30,53.535,409.549225,-0.3260413218149184
2021-07-01,51.09,411.816742,-0.1481879176679632
2021-07-02,50.7075,414.964508,0.0209065010537149
2021-07-06,49.889999,414.208618,0.1645451992869308
2021-07-07,47.665001,415.672455,0.2808448332619609
2021-07-08,47.845001,412.285583,0.3678610683690626
2021-07-09,47.807499,416.686646,0.4474033896444447
2021-07-12,47.3125,418.179199,0.4936577972250301
2021-07-13,45.014999,416.753632,0.5281457976707621
2021-07-14,41.904999,417.375488,0.5508792153345313
2021-07-15,41.705002,415.949982,0.5497141830303688
2021-07-16,42.259998,412.687378,0.5496648310842608
2021-07-19,43.372501,406.592926,0.5504417825022333
2021-07-20,47.794998,412.419556,0.6106438822604423
2021-07-21,46.452499,415.758606,0.6980351177197701
2021-07-22,44.712502,416.629242,0.7258169162468506
2021-07-23,45.09,420.915558,0.6948937319810661
2021-07-26,45.985001,421.948792,0.6490297230098228
2021-07-27,44.634998,420.025757,0.6347449382416788
2021-07-28,42.279999,419.853485,0.639463933921586
2021-07-29,41.215,421.594818,0.6364274670489473
2021-07-30,40.279999,419.547394,0.6276290603725232
2021-08-02,39.412498,418.667145,0.5948072196588408
2021-08-03,38.1875,422.073242,0.5684315475287193
2021-08-04,36.700001,419.997009,0.5368665252377218
2021-08-05,38.360001,422.656891,0.5165641139283842
2021-08-06,37.942501,423.355255,0.516430838770566
2021-08-09,40.282501,423.010803,0.5328839533949331
2021-08-10,39.762501,423.537018,0.5452613505494208
2021-08-11,39.695,424.589508,0.5581800588228836
2021-08-12,40.587502,425.861908,0.5803318110551361
2021-08-13,40.630001,426.636902,0.6053461635656742
2021-08-16,40.982498,427.64151,0.6407217809655755
2021-08-17,40.887501,424.838226,0.6765163016739506
2021-08-18,39.262501,420.188385,0.699194466181294
2021-08-19,38.224998,420.838959,0.696435913109985
2021-08-20,39.825001,424.187622,0.706610244879039
2021-08-23,41.2225,427.918976,0.7232198321780777
2021-08-24,52.572498,428.598297,0.7433080076126393
2021-08-25,49.912498,429.497589,0.6896397663772498
2021-08-26,51.305,426.962189,0.5943286832395354
2021-08-27,51.237499,430.779694,0.5173101321026732
2021-08-30,52.299999,432.674072,0.4513222614760817
2021-08-31,54.560001,432.03302,0.3771421210512184
2021-09-01,53.2425,432.262665,0.3222297215433919
2021-09-02,53.380001,433.592499,0.2719205274064672
2021-09-03,50.6875,433.487244,0.279696120409823
2021-09-07,49.75,431.937347,0.3248109530753118
2021-09-08,49.700001,431.411163,0.4085209293257033
2021-09-09,49.794998,429.564606,0.4800743349992395
2021-09-10,47.602501,426.177734,0.5341010613298509
2021-09-13,50.849998,427.268372,0.5861536991045938
2021-09-14,49.810001,424.962585,0.6185998065415761
2021-09-15,51.130001,428.512177,0.637709904289252
2021-09-16,51.592499,427.832916,0.6630377254542615
2021-09-17,51.2425,423.665283,0.6916982652148045
2021-09-20,48.049999,416.601074,0.7377423359834877
2021-09-21,47.487499,416.20752,0.7700212874112163
2021-09-22,47.535,420.267548,0.7977941177528237
2021-09-23,47.810001,425.373779,0.8178682526849677
2021-09-24,46.290001,426.074493,0.8233428693322485
2021-09-27,47.369999,424.85556,0.7971639830637169
2021-09-28,44.650002,416.293915,0.8062808441744453
2021-09-29,43.98,416.994598,0.8109602868605869
2021-09-30,43.8675,411.897919,0.807956897274171
2021-10-01,44.227501,416.792999,0.808369485092607
2021-10-04,42.84,411.41803,0.80588528753028
2021-10-05,43.044998,415.698822,0.801684407987921
2021-10-06,42.767502,417.426483,0.7878234022220814
